2,9,0.51,-0.0026,0.0026
None,0,0.89,-0.3282,0.5166
None,1,0.65,-0.3580,0.4139
None,2,0.64,-0.2861,0.2288
None,3,1.00,-0.2380,0.1814
None,4,0.72,-0.2576,0.1595
None,5,0.87,-0.1881,0.1303
None,6,0.75,-0.0836,0.0596
None,7,0.00,-0.0407,0.0246
None,8,0.31,-0.0174,0.0118
None,9,0.65,-0.0029,0.0026
6,0,0.89,-0.3282,0.5166
6,1,0.65,-0.3580,0.4139
6,2,0.64,-0.2861,0.2288
6,3,1.00,-0.2380,0.1814
6,4,0.72,-0.2576,0.1595
6,5,0.87,-0.1881,0.1303
6,6,0.75,-0.0836,0.0596
6,7,0.00,-0.0407,0.0246
6,8,0.31,-0.0174,0.0118
6,9,0.65,-0.0029,0.0026
None,0,0.89,-0.3289,0.5163
None,1,0.66,-0.3585,0.4132
None,2,0.64,-0.2862,0.2279
None,3,1.00,-0.2377,0.1807
None,4,0.71,-0.2571,0.1625
None,5,0.86,-0.1873,0.1329
None,6,0.75,-0.0830,0.0626
None,7,0.00,-0.0404,0.0253
None,8,0.31,-0.0175,0.0117
None,9,0.72,-0.0028,0.0025
0,0,0.89,-0.3289,0.5163
0,1,0.66,-0.3585,0.4132
0,2,0.64,-0.2862,0.2279
0,3,1.00,-0.2377,0.1807
0,4,0.71,-0.2571,0.1625
0,5,0.86,-0.1873,0.1329
0,6,0.75,-0.0830,0.0626
0,7,0.00,-0.0404,0.0253
0,8,0.31,-0.0175,0.0117
0,9,0.72,-0.0028,0.0025
None,0,1.00,-0.3149,0.7496
None,1,0.52,-0.3313,0.6055
None,2,0.57,-0.2779,0.3888
None,3,0.76,-0.2585,0.3408
None,4,0.58,-0.2663,0.2687
None,5,0.78,-0.1959,0.1814
None,6,0.70,-0.0887,0.0810
None,7,0.00,-0.0415,0.0281
None,8,0.26,-0.0173,0.0156
None,9,0.82,-0.0031,0.0033
9,0,1.00,-0.3149,0.7496
9,1,0.52,-0.3313,0.6055
9,2,0.57,-0.2779,0.3888
9,3,0.76,-0.2585,0.3408
9,4,0.58,-0.2663,0.2687
9,5,0.78,-0.1959,0.1814
9,6,0.70,-0.0887,0.0810
9,7,0.00,-0.0415,0.0281
9,8,0.26,-0.0173,0.0156
9,9,0.82,-0.0031,0.0033
None,0,1.00,-0.3149,0.7495
None,1,0.52,-0.3314,0.6055
None,2,0.57,-0.2779,0.3888
None,3,0.76,-0.2584,0.3408
None,4,0.58,-0.2663,0.2687
None,5,0.78,-0.1959,0.1814
None,6,0.70,-0.0886,0.0810
None,7,0.00,-0.0414,0.0281
None,8,0.26,-0.0173,0.0156
None,9,0.92,-0.0030,0.0033
3,0,1.00,-0.3149,0.7495
3,1,0.52,-0.3314,0.6055
3,2,0.57,-0.2779,0.3888
3,3,0.76,-0.2584,0.3408
3,4,0.58,-0.2663,0.2687
3,5,0.78,-0.1959,0.1814
3,6,0.70,-0.0886,0.0810
3,7,0.00,-0.0414,0.0281
3,8,0.26,-0.0173,0.0156
3,9,0.92,-0.0030,0.0033
None,0,1.00,-0.3426,0.6892
None,1,0.55,-0.3626,0.5469
